id,t,size,duration,p_j,g_j,lr_j,p_wap,p_wag,n_j,p_sen,p_fem,lr_ij_sd
cz_po.ODS,2013,200,3,ODS,0,7.4,0.031496062992125984,0.023622047244094488,4,0.5,0,0.35957027149340925
cz_po.SPR,1996,200,3,SPR,0,9.8,0,0,1,0,0,0
cz_po.TOP09,2010,200,4,TOP09,1,7.4,0.42035398230088494,0.17256637168141592,14,0.21428571428571427,0.21428571428571427,1.9621993284234238
cz_po.TOP09,2013,200,3,TOP09,0,7.4,0.4021164021164021,0.3492063492063492,12,0.6666666666666666,0.4166666666666667,1.20239646774971
cz_po.US,1998,200,5,US,0,7.2,0.5191011235955056,0.2876404494382023,16,0.25,0.1875,1.3943499971661073
cz_po.USVIT,2013,200,3,USVIT,0,7.4,0.12099644128113879,0.07473309608540925,9,0.2222222222222222,0.2222222222222222,1.4877164634035929
cz_po.VV,2010,200,4,VV,1,6,0.43119266055045874,0.2981651376146789,16,0,0.3125,1.9289852113564359
cz_se.4KOAL,1998,81,5,4KOAL,0,6.7,0.7083333333333334,0.375,2,0.5,0,1.6832884912953978
cz_se.4KOAL,2002,81,5,4KOAL,0,6.7,0.3333333333333333,0.3333333333333333,1,1,0,2.1361959960016152
cz_se.CSSD,1996,81,3,CSSD,0,3,0.5238095238095238,0.5238095238095238,4,0,0,2.1733231083604054
cz_se.CSSD,1998,81,5,CSSD,1,3,1,0.5,1,1,0,2.6244999523718797
cz_se.CSSD,2002,81,5,CSSD,1,3,0.75,0.5,1,1,0,1.9311050377094114
cz_se.CSSD,2010,81,4,CSSD,0,3,0.08759124087591241,0.021897810218978103,6,0.6666666666666666,0.3333333333333333,0.974283484760226
cz_se.CSSD,2013,81,3,CSSD,1,3,0.08839779005524862,0.06629834254143646,6,0.6666666666666666,0,1.0705794463173637
cz_se.KDU,1996,81,3,KDU,1,5.8,0.6666666666666666,0.4,2,0,0,1.9345111354896185
cz_se.KDU,1998,81,5,KDU,0,5.8,0.62,0.1,4,0.75,0,0.9166403830492822
cz_se.KDU,2010,81,4,KDU,0,5.8,0,0,1,0,0,0
cz_se.KDU,2013,81,3,KDU,1,5.8,1,0.5,1,1,0,1.4142135623730951
cz_se.NEZ,2002,81,5,NEZ,0,5.5,1,0.14285714285714285,1,1,1,1.0126045454015924
cz_se.ODA,1996,81,3,ODA,1,7.1,1,0.3333333333333333,1,0,0,2.227105745132009
cz_se.ODA,1998,81,5,ODA,0,7.1,0.896551724137931,0.20689655172413793,2,1,0.5,1.8051807489090625
cz_se.ODS,1996,81,3,ODS,1,7.4,0.25,0.125,3,0,0,1.4988340879458295
cz_se.ODS,1998,81,5,ODS,1,7.4,0.10526315789473684,0.07894736842105263,3,0.6666666666666666,0,0.8185660756274153
cz_se.ODS,2002,81,5,ODS,0,7.4,0.06086956521739131,0.017391304347826087,5,1,0,0.2840154674521653
cz_se.ODS,2010,81,4,ODS,1,7.4,0.2727272727272727,0.2727272727272727,10,0.8,0.2,1.8598047392639738
cz_se.ODS,2013,81,3,ODS,0,7.4,0.6296296296296297,0.4444444444444444,2,0.5,0,2.5295491787310733
cz_se.PIR,2013,81,3,PIR,0,5,1,0.9090909090909091,1,0,0,1.8705020122356932
cz_se.SNKED,2002,81,5,SNKED,0,6.1,0.7142857142857143,0.2857142857142857,1,0,0,0.7739816658342878
cz_se.SZ,2013,81,3,SZ,0,4.1,1,0.6153846153846154,1,0,1,1.8066543665017945
